Disease,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10,Symptom 11,Symptom 12,Symptom 13,Symptom 14,Symptom 15,Symptom 16,Symptom 17,Symptom 18,Symptom 19,Symptom 20,Symptom 21,Symptom 22,Symptom 23,Symptom 24,Symptom 25,Symptom 26,Symptom 27,Symptom 28
Hepatitis b,Itching,Fatigue,Lethargy,Yellowish skin,Dark urine,Abdominal pain,Yellow urine,Yellowing of eyes,Malaise,Receiving blood transfusion,Receiving unsterile injections,,,,,,,,,,,,,,,,,
Hepatitis b,Itching,Fatigue,Lethargy,Yellowish skin,Dark urine,Loss of appetite,Yellow urine,Yellowing of eyes,Malaise,Receiving blood transfusion,Receiving unsterile injections,,,,,,,,,,,,,,,,,
Hepatitis b,Itching,Fatigue,Lethargy,Yellowish skin,Dark urine,Loss of appetite,Abdominal pain,Yellowing of eyes,Malaise,Receiving blood transfusion,Receiving unsterile injections,,,,,,,,,,,,,,,,,
Hepatitis c,Fatigue,Yellowish skin,Nausea,Loss of appetite,Family history,,,,,,,,,,,,,,,,,,,,,,,
Hepatitis c,Fatigue,Yellowish skin,Nausea,Loss of appetite,Yellowing of eyes,Family history,,,,,,,,,,,,,,,,,,,,,,
Hepatitis c,Yellowish skin,Nausea,Loss of appetite,Yellowing of eyes,Family history,,,,,,,,,,,,,,,,,,,,,,,
Hepatitis c,Fatigue,Nausea,Loss of appetite,Yellowing of eyes,Family history,,,,,,,,,,,,,,,,,,,,,,,
Hepatitis c,Fatigue,Yellowish skin,Loss of appetite,Yellowing of eyes,Family history,,,,,,,,,,,,,,,,,,,,,,,
Hepatitis c,Fatigue,Yellowish skin,Nausea,Yellowing of eyes,Family history,,,,,,,,,,,,,,,,,,,,,,,
Hepatitis c,Fatigue,Yellowish skin,Nausea,Loss of appetite,Family history,,,,,,,,,,,,,,,,,,,,,,,
Hepatitis c,Fatigue,Yellowish skin,Nausea,Loss of appetite,Yellowing of eyes,,,,,,,,,,,,,,,,,,,,,,,
Hepatitis c,Fatigue,Yellowish skin,Nausea,Loss of appetite,Yellowing of eyes,Family history,,,,,,,,,,,,,,,,,,,,,,
Hepatitis c,Fatigue,Yellowish skin,Nausea,Loss of appetite,Yellowing of eyes,Family history,,,,,,,,,,,,,,,,,,,,,,
Hepatitis d,Joint pain,Vomiting,Fatigue,Yellowish skin,Dark urine,Nausea,Loss of appetite,Abdominal pain,Yellowing of eyes,,,,,,,,,,,,,,,,,,,
Hepatitis d,Vomiting,Fatigue,Yellowish skin,Dark urine,Nausea,Loss of appetite,Abdominal pain,Yellowing of eyes,,,,,,,,,,,,,,,,,,,,
Hepatitis d,Joint pain,Fatigue,Yellowish skin,Dark urine,Nausea,Loss of appetite,Abdominal pain,Yellowing of eyes,,,,,,,,,,,,,,,,,,,,
Hepatitis d,Joint pain,Vomiting,Yellowish skin,Dark urine,Nausea,Loss of appetite,Abdominal pain,Yellowing of eyes,,,,,,,,,,,,,,,,,,,,
Hepatitis d,Joint pain,Vomiting,Fatigue,Dark urine,Nausea,Loss of appetite,Abdominal pain,Yellowing of eyes,,,,,,,,,,,,,,,,,,,,
Hepatitis d,Joint pain,Vomiting,Fatigue,Yellowish skin,Nausea,Loss of appetite,Abdominal pain,Yellowing of eyes,,,,,,,,,,,,,,,,,,,,
Hepatitis d,Joint pain,Vomiting,Fatigue,Yellowish skin,Dark urine,Loss of appetite,Abdominal pain,Yellowing of eyes,,,,,,,,,,,,,,,,,,,,
Hepatitis d,Joint pain,Vomiting,Fatigue,Yellowish skin,Dark urine,Nausea,Abdominal pain,Yellowing of eyes,,,,,,,,,,,,,,,,,,,,
Hepatitis d,Joint pain,Vomiting,Fatigue,Yellowish skin,Dark urine,Nausea,Loss of appetite,Yellowing of eyes,,,,,,,,,,,,,,,,,,,,
Hepatitis d,Joint pain,Vomiting,Fatigue,Yellowish skin,Dark urine,Nausea,Loss of appetite,Abdominal pain,,,,,,,,,,,,,,,,,,,,
Hepatitis e,Joint pain,Vomiting,Fatigue,High fever,Yellowish skin,Dark urine,Nausea,Loss of appetite,Abdominal pain,Yellowing of eyes,Coma,Stomach bleeding,,,,,,,,,,,,,,,,
Hepatitis e,Joint pain,Vomiting,Fatigue,High fever,Yellowish skin,Dark urine,Nausea,Loss of appetite,Abdominal pain,Yellowing of eyes,Acute liver failure,Coma,Stomach bleeding,,,,,,,,,,,,,,,
Hepatitis e,Joint pain,Vomiting,Fatigue,High fever,Yellowish skin,Dark urine,Nausea,Loss of appetite,Abdominal pain,Yellowing of eyes,Acute liver failure,Coma,Stomach bleeding,,,,,,,,,,,,,,,
Hepatitis e,Vomiting,Fatigue,High fever,Yellowish skin,Dark urine,Nausea,Loss of appetite,Abdominal pain,Yellowing of eyes,Acute liver failure,Coma,Stomach bleeding,,,,,,,,,,,,,,,,
Hepatitis e,Joint pain,Fatigue,High fever,Yellowish skin,Dark urine,Nausea,Loss of appetite,Abdominal pain,Yellowing of eyes,Acute liver failure,Coma,Stomach bleeding,,,,,,,,,,,,,,,,
Hepatitis e,Joint pain,Vomiting,High fever,Yellowish skin,Dark urine,Nausea,Loss of appetite,Abdominal pain,Yellowing of eyes,Acute liver failure,Coma,Stomach bleeding,,,,,,,,,,,,,,,,
Hepatitis e,Joint pain,Vomiting,Fatigue,Yellowish skin,Dark urine,Nausea,Loss of appetite,Abdominal pain,Yellowing of eyes,Acute liver failure,Coma,Stomach bleeding,,,,,,,,,,,,,,,,
Hepatitis e,Joint pain,Vomiting,Fatigue,High fever,Dark urine,Nausea,Loss of appetite,Abdominal pain,Yellowing of eyes,Acute liver failure,Coma,Stomach bleeding,,,,,,,,,,,,,,,,
Hepatitis e,Joint pain,Vomiting,Fatigue,High fever,Yellowish skin,Nausea,Loss of appetite,Abdominal pain,Yellowing of eyes,Acute liver failure,Coma,Stomach bleeding,,,,,,,,,,,,,,,,
Hepatitis e,Joint pain,Vomiting,Fatigue,High fever,Yellowish skin,Dark urine,Loss of appetite,Abdominal pain,Yellowing of eyes,Acute liver failure,Coma,Stomach bleeding,,,,,,,,,,,,,,,,
Alcoholic hepatitis,Vomiting,Yellowish skin,Abdominal pain,Swelling of stomach,Distention of abdomen,History of alcohol consumption,Fluid overload,,,,,,,,,,,,,,,,,,,,,
Alcoholic hepatitis,Vomiting,Yellowish skin,Abdominal pain,Swelling of stomach,Distention of abdomen,History of alcohol consumption,Fluid overload,,,,,,,,,,,,,,,,,,,,,
Alcoholic hepatitis,Yellowish skin,Abdominal pain,Swelling of stomach,Distention of abdomen,History of alcohol consumption,Fluid overload,,,,,,,,,,,,,,,,,,,,,,
Alcoholic hepatitis,Vomiting,Abdominal pain,Swelling of stomach,Distention of abdomen,History of alcohol consumption,Fluid overload,,,,,,,,,,,,,,,,,,,,,,
Alcoholic hepatitis,Vomiting,Yellowish skin,Swelling of stomach,Distention of abdomen,History of alcohol consumption,Fluid overload,,,,,,,,,,,,,,,,,,,,,,
Alcoholic hepatitis,Vomiting,Yellowish skin,Abdominal pain,Distention of abdomen,History of alcohol consumption,Fluid overload,,,,,,,,,,,,,,,,,,,,,,
Alcoholic hepatitis,Vomiting,Yellowish skin,Abdominal pain,Swelling of stomach,History of alcohol consumption,Fluid overload,,,,,,,,,,,,,,,,,,,,,,
Alcoholic hepatitis,Vomiting,Yellowish skin,Abdominal pain,Swelling of stomach,Distention of abdomen,Fluid overload,,,,,,,,,,,,,,,,,,,,,,
Alcoholic hepatitis,Vomiting,Yellowish skin,Abdominal pain,Swelling of stomach,Distention of abdomen,History of alcohol consumption,,,,,,,,,,,,,,,,,,,,,,
Alcoholic hepatitis,Vomiting,Yellowish skin,Abdominal pain,Swelling of stomach,Distention of abdomen,History of alcohol consumption,Fluid overload,,,,,,,,,,,,,,,,,,,,,
Tuberculosis,Chills,Vomiting,Fatigue,Weight loss,Cough,High fever,Breathlessness,Sweating,Loss of appetite,Mild fever,Yellowing of eyes,Swelled lymph nodes,Malaise,Phlegm,Chest pain,Blood in sputum,,,,,,,,,,,,
Tuberculosis,Chills,Vomiting,Fatigue,Weight loss,Cough,High fever,Breathlessness,Sweating,Loss of appetite,Mild fever,Yellowing of eyes,Swelled lymph nodes,Malaise,Phlegm,Chest pain,Blood in sputum,,,,,,,,,,,,
Tuberculosis,Vomiting,Fatigue,Weight loss,Cough,High fever,Breathlessness,Sweating,Loss of appetite,Mild fever,Yellowing of eyes,Swelled lymph nodes,Malaise,Phlegm,Chest pain,Blood in sputum,,,,,,,,,,,,,
Tuberculosis,Chills,Fatigue,Weight loss,Cough,High fever,Breathlessness,Sweating,Loss of appetite,Mild fever,Yellowing of eyes,Swelled lymph nodes,Malaise,Phlegm,Chest pain,Blood in sputum,,,,,,,,,,,,,
Tuberculosis,Chills,Vomiting,Weight loss,Cough,High fever,Breathlessness,Sweating,Loss of appetite,Mild fever,Yellowing of eyes,Swelled lymph nodes,Malaise,Phlegm,Chest pain,Blood in sputum,,,,,,,,,,,,,
Tuberculosis,Chills,Vomiting,Fatigue,Cough,High fever,Breathlessness,Sweating,Loss of appetite,Mild fever,Yellowing of eyes,Swelled lymph nodes,Malaise,Phlegm,Chest pain,Blood in sputum,,,,,,,,,,,,,
Tuberculosis,Chills,Vomiting,Fatigue,Weight loss,High fever,Breathlessness,Sweating,Loss of appetite,Mild fever,Yellowing of eyes,Swelled lymph nodes,Malaise,Phlegm,Chest pain,Blood in sputum,,,,,,,,,,,,,
Tuberculosis,Chills,Vomiting,Fatigue,Weight loss,Cough,Breathlessness,Sweating,Loss of appetite,Mild fever,Yellowing of eyes,Swelled lymph nodes,Malaise,Phlegm,Chest pain,Blood in sputum,,,,,,,,,,,,,
Tuberculosis,Chills,Vomiting,Fatigue,Weight loss,Cough,High fever,Sweating,Loss of appetite,Mild fever,Yellowing of eyes,Swelled lymph nodes,Malaise,Phlegm,Chest pain,Blood in sputum,,,,,,,,,,,,,
Tuberculosis,Chills,Vomiting,Fatigue,Weight loss,Cough,High fever,Breathlessness,Loss of appetite,Mild fever,Yellowing of eyes,Swelled lymph nodes,Malaise,Phlegm,Chest pain,Blood in sputum,,,,,,,,,,,,,
Common cold,Continuous sneezing,Chills,Fatigue,Cough,High fever,Headache,Swelled lymph nodes,Malaise,Phlegm,Throat irritation,Redness of eyes,Sinus pressure,Runny nose,Congestion,Chest pain,Loss of smell,Muscle pain,,,,,,,,,,,
Common cold,Continuous sneezing,Chills,Fatigue,Cough,High fever,Headache,Swelled lymph nodes,Malaise,Phlegm,Throat irritation,Redness of eyes,Sinus pressure,Runny nose,Congestion,Chest pain,Loss of smell,Muscle pain,,,,,,,,,,,
Common cold,Chills,Fatigue,Cough,High fever,Headache,Swelled lymph nodes,Malaise,Phlegm,Throat irritation,Redness of eyes,Sinus pressure,Runny nose,Congestion,Chest pain,Loss of smell,Muscle pain,,,,,,,,,,,,
Common cold,Continuous sneezing,Fatigue,Cough,High fever,Headache,Swelled lymph nodes,Malaise,Phlegm,Throat irritation,Redness of eyes,Sinus pressure,Runny nose,Congestion,Chest pain,Loss of smell,Muscle pain,,,,,,,,,,,,
Common cold,Continuous sneezing,Chills,Cough,High fever,Headache,Swelled lymph nodes,Malaise,Phlegm,Throat irritation,Redness of eyes,Sinus pressure,Runny nose,Congestion,Chest pain,Loss of smell,Muscle pain,,,,,,,,,,,,
Common cold,Continuous sneezing,Chills,Fatigue,High fever,Headache,Swelled lymph nodes,Malaise,Phlegm,Throat irritation,Redness of eyes,Sinus pressure,Runny nose,Congestion,Chest pain,Loss of smell,Muscle pain,,,,,,,,,,,,
Common cold,Continuous sneezing,Chills,Fatigue,Cough,Headache,Swelled lymph nodes,Malaise,Phlegm,Throat irritation,Redness of eyes,Sinus pressure,Runny nose,Congestion,Chest pain,Loss of smell,Muscle pain,,,,,,,,,,,,
Common cold,Continuous sneezing,Chills,Fatigue,Cough,High fever,Swelled lymph nodes,Malaise,Phlegm,Throat irritation,Redness of eyes,Sinus pressure,Runny nose,Congestion,Chest pain,Loss of smell,Muscle pain,,,,,,,,,,,,
Common cold,Continuous sneezing,Chills,Fatigue,Cough,High fever,Headache,Malaise,Phlegm,Throat irritation,Redness of eyes,Sinus pressure,Runny nose,Congestion,Chest pain,Loss of smell,Muscle pain,,,,,,,,,,,,
Common cold,Continuous sneezing,Chills,Fatigue,Cough,High fever,Headache,Swelled lymph nodes,Phlegm,Throat irritation,Redness of eyes,Sinus pressure,Runny nose,Congestion,Chest pain,Loss of smell,Muscle pain,,,,,,,,,,,,
Pneumonia,Chills,Fatigue,Cough,High fever,Breathlessness,Sweating,Malaise,Chest pain,Fast heart rate,Rusty sputum,,,,,,,,,,,,,,,,,,
Pneumonia,Chills,Fatigue,Cough,High fever,Breathlessness,Sweating,Malaise,Phlegm,Chest pain,Fast heart rate,Rusty sputum,,,,,,,,,,,,,,,,,
Pneumonia,Chills,Fatigue,Cough,High fever,Breathlessness,Sweating,Malaise,Phlegm,Chest pain,Fast heart rate,Rusty sputum,,,,,,,,,,,,,,,,,
Pneumonia,Fatigue,Cough,High fever,Breathlessness,Sweating,Malaise,Phlegm,Chest pain,Fast heart rate,Rusty sputum,,,,,,,,,,,,,,,,,,
Pneumonia,Chills,Cough,High fever,Breathlessness,Sweating,Malaise,Phlegm,Chest pain,Fast heart rate,Rusty sputum,,,,,,,,,,,,,,,,,,
Pneumonia,Chills,Fatigue,High fever,Breathlessness,Sweating,Malaise,Phlegm,Chest pain,Fast heart rate,Rusty sputum,,,,,,,,,,,,,,,,,,
Pneumonia,Chills,Fatigue,Cough,Breathlessness,Sweating,Malaise,Phlegm,Chest pain,Fast heart rate,Rusty sputum,,,,,,,,,,,,,,,,,,
Pneumonia,Chills,Fatigue,Cough,High fever,Sweating,Malaise,Phlegm,Chest pain,Fast heart rate,Rusty sputum,,,,,,,,,,,,,,,,,,
Pneumonia,Chills,Fatigue,Cough,High fever,Breathlessness,Malaise,Phlegm,Chest pain,Fast heart rate,Rusty sputum,,,,,,,,,,,,,,,,,,
Pneumonia,Chills,Fatigue,Cough,High fever,Breathlessness,Sweating,Phlegm,Chest pain,Fast heart rate,Rusty sputum,,,,,,,,,,,,,,,,,,
Dimorphic hemmorhoids(piles),Constipation,Pain during bowel movements,Pain in anal region,Bloody stool,Irritation in anus,,,,,,,,,,,,,,,,,,,,,,,
Dimorphic hemmorhoids(piles),Constipation,Pain during bowel movements,Pain in anal region,Bloody stool,Irritation in anus,,,,,,,,,,,,,,,,,,,,,,,
Dimorphic hemmorhoids(piles),Constipation,Pain during bowel movements,Pain in anal region,Bloody stool,Irritation in anus,,,,,,,,,,,,,,,,,,,,,,,
Dimorphic hemmorhoids(piles),Pain during bowel movements,Pain in anal region,Bloody stool,Irritation in anus,,,,,,,,,,,,,,,,,,,,,,,,
Dimorphic hemmorhoids(piles),Constipation,Pain in anal region,Bloody stool,Irritation in anus,,,,,,,,,,,,,,,,,,,,,,,,
Dimorphic hemmorhoids(piles),Constipation,Pain during bowel movements,Bloody stool,Irritation in anus,,,,,,,,,,,,,,,,,,,,,,,,
Dimorphic hemmorhoids(piles),Constipation,Pain during bowel movements,Pain in anal region,Irritation in anus,,,,,,,,,,,,,,,,,,,,,,,,
Dimorphic hemmorhoids(piles),Constipation,Pain during bowel movements,Pain in anal region,Bloody stool,,,,,,,,,,,,,,,,,,,,,,,,
Dimorphic hemmorhoids(piles),Constipation,Pain during bowel movements,Pain in anal region,Bloody stool,Irritation in anus,,,,,,,,,,,,,,,,,,,,,,,
Dimorphic hemmorhoids(piles),Constipation,Pain during bowel movements,Pain in anal region,Bloody stool,Irritation in anus,,,,,,,,,,,,,,,,,,,,,,,
Heart attack,Vomiting,Breathlessness,Sweating,Chest pain,,,,,,,,,,,,,,,,,,,,,,,,
Heart attack,Vomiting,Breathlessness,Sweating,Chest pain,,,,,,,,,,,,,,,,,,,,,,,,
Heart attack,Breathlessness,Sweating,Chest pain,,,,,,,,,,,,,,,,,,,,,,,,,
Heart attack,Vomiting,Sweating,Chest pain,,,,,,,,,,,,,,,,,,,,,,,,,
Heart attack,Vomiting,Breathlessness,Chest pain,,,,,,,,,,,,,,,,,,,,,,,,,
Heart attack,Vomiting,Breathlessness,Sweating,,,,,,,,,,,,,,,,,,,,,,,,,
Heart attack,Vomiting,Breathlessness,Sweating,Chest pain,,,,,,,,,,,,,,,,,,,,,,,,
Heart attack,Breathlessness,Sweating,Chest pain,,,,,,,,,,,,,,,,,,,,,,,,,
Heart attack,Vomiting,Sweating,Chest pain,,,,,,,,,,,,,,,,,,,,,,,,,
Heart attack,Vomiting,Breathlessness,Chest pain,,,,,,,,,,,,,,,,,,,,,,,,,
Varicose veins,Fatigue,Cramps,Bruising,Obesity,Swollen legs,Swollen blood vessels,Prominent veins on calf,,,,,,,,,,,,,,,,,,,,,
Varicose veins,Fatigue,Cramps,Bruising,Obesity,Swollen legs,Swollen blood vessels,Prominent veins on calf,,,,,,,,,,,,,,,,,,,,,
Varicose veins,Cramps,Bruising,Obesity,Swollen legs,Swollen blood vessels,Prominent veins on calf,,,,,,,,,,,,,,,,,,,,,,
Varicose veins,Fatigue,Bruising,Obesity,Swollen legs,Swollen blood vessels,Prominent veins on calf,,,,,,,,,,,,,,,,,,,,,,
Varicose veins,Fatigue,Cramps,Obesity,Swollen legs,Swollen blood vessels,Prominent veins on calf,,,,,,,,,,,,,,,,,,,,,,
Varicose veins,Fatigue,Cramps,Bruising,Swollen legs,Swollen blood vessels,Prominent veins on calf,,,,,,,,,,,,,,,,,,,,,,
Varicose veins,Fatigue,Cramps,Bruising,Obesity,Swollen blood vessels,Prominent veins on calf,,,,,,,,,,,,,,,,,,,,,,
Varicose veins,Fatigue,Cramps,Bruising,Obesity,Swollen legs,Prominent veins on calf,,,,,,,,,,,,,,,,,,,,,,
Varicose veins,Fatigue,Cramps,Bruising,Obesity,Swollen legs,Swollen blood vessels,,,,,,,,,,,,,,,,,,,,,,
Varicose veins,Fatigue,Cramps,Bruising,Obesity,Swollen legs,Prominent veins on calf,,,,,,,,,,,,,,,,,,,,,,
Hypothyroidism,Fatigue,Weight gain,Cold hands and feets,Mood swings,Lethargy,Dizziness,Puffy face and eyes,Enlarged thyroid,Brittle nails,Swollen extremeties,Depression,Irritability,Abnormal menstruation,,,,,,,,,,,,,,,
Hypothyroidism,Fatigue,Weight gain,Cold hands and feets,Mood swings,Lethargy,Dizziness,Puffy face and eyes,Enlarged thyroid,Brittle nails,Swollen extremeties,Depression,Irritability,Abnormal menstruation,,,,,,,,,,,,,,,
Hypothyroidism,Weight gain,Cold hands and feets,Mood swings,Lethargy,Dizziness,Puffy face and eyes,Enlarged thyroid,Brittle nails,Swollen extremeties,Depression,Irritability,Abnormal menstruation,,,,,,,,,,,,,,,,
Hypothyroidism,Weight gain,Cold hands and feets,Mood swings,Lethargy,Dizziness,Puffy face and eyes,Enlarged thyroid,Brittle nails,Swollen extremeties,Depression,Irritability,Abnormal menstruation,,,,,,,,,,,,,,,,
Hypothyroidism,Fatigue,Cold hands and feets,Mood swings,Lethargy,Dizziness,Puffy face and eyes,Enlarged thyroid,Brittle nails,Swollen extremeties,Depression,Irritability,Abnormal menstruation,,,,,,,,,,,,,,,,
Hypothyroidism,Fatigue,Weight gain,Mood swings,Lethargy,Dizziness,Puffy face and eyes,Enlarged thyroid,Brittle nails,Swollen extremeties,Depression,Irritability,Abnormal menstruation,,,,,,,,,,,,,,,,
Hypothyroidism,Fatigue,Weight gain,Cold hands and feets,Lethargy,Dizziness,Puffy face and eyes,Enlarged thyroid,Brittle nails,Swollen extremeties,Depression,Irritability,Abnormal menstruation,,,,,,,,,,,,,,,,
Hypothyroidism,Fatigue,Weight gain,Cold hands and feets,Mood swings,Dizziness,Puffy face and eyes,Enlarged thyroid,Brittle nails,Swollen extremeties,Depression,Irritability,Abnormal menstruation,,,,,,,,,,,,,,,,
Hypothyroidism,Fatigue,Weight gain,Cold hands and feets,Mood swings,Lethargy,Puffy face and eyes,Enlarged thyroid,Brittle nails,Swollen extremeties,Depression,Irritability,Abnormal menstruation,,,,,,,,,,,,,,,,
Hypothyroidism,Fatigue,Weight gain,Cold hands and feets,Mood swings,Lethargy,Dizziness,Enlarged thyroid,Brittle nails,Swollen extremeties,Depression,Irritability,Abnormal menstruation,,,,,,,,,,,,,,,,
Hyperthyroidism,Fatigue,Mood swings,Weight loss,Restlessness,Sweating,Diarrhoea,Fast heart rate,Excessive hunger,Muscle weakness,Irritability,Abnormal menstruation,,,,,,,,,,,,,,,,,
Hyperthyroidism,Fatigue,Mood swings,Weight loss,Restlessness,Sweating,Diarrhoea,Fast heart rate,Excessive hunger,Muscle weakness,Irritability,Abnormal menstruation,,,,,,,,,,,,,,,,,
Hyperthyroidism,Mood swings,Weight loss,Restlessness,Sweating,Diarrhoea,Fast heart rate,Excessive hunger,Muscle weakness,Irritability,Abnormal menstruation,,,,,,,,,,,,,,,,,,
Hyperthyroidism,Fatigue,Weight loss,Restlessness,Sweating,Diarrhoea,Fast heart rate,Excessive hunger,Muscle weakness,Irritability,Abnormal menstruation,,,,,,,,,,,,,,,,,,
Hyperthyroidism,Fatigue,Mood swings,Restlessness,Sweating,Diarrhoea,Fast heart rate,Excessive hunger,Muscle weakness,Irritability,Abnormal menstruation,,,,,,,,,,,,,,,,,,
Hyperthyroidism,Fatigue,Mood swings,Weight loss,Sweating,Diarrhoea,Fast heart rate,Excessive hunger,Muscle weakness,Irritability,Abnormal menstruation,,,,,,,,,,,,,,,,,,
Hyperthyroidism,Fatigue,Mood swings,Weight loss,Restlessness,Diarrhoea,Fast heart rate,Excessive hunger,Muscle weakness,Irritability,Abnormal menstruation,,,,,,,,,,,,,,,,,,
Hyperthyroidism,Fatigue,Mood swings,Weight loss,Restlessness,Sweating,Fast heart rate,Excessive hunger,Muscle weakness,Irritability,Abnormal menstruation,,,,,,,,,,,,,,,,,,
Hyperthyroidism,Fatigue,Mood swings,Weight loss,Restlessness,Sweating,Diarrhoea,Excessive hunger,Muscle weakness,Irritability,Abnormal menstruation,,,,,,,,,,,,,,,,,,
Hyperthyroidism,Fatigue,Mood swings,Weight loss,Restlessness,Sweating,Diarrhoea,Fast heart rate,Muscle weakness,Irritability,Abnormal menstruation,,,,,,,,,,,,,,,,,,
Hypoglycemia,Vomiting,Fatigue,Anxiety,Sweating,Headache,Nausea,Blurred and distorted vision,Excessive hunger,Slurred speech,Irritability,Palpitations,,,,,,,,,,,,,,,,,
Hypoglycemia,Vomiting,Fatigue,Anxiety,Sweating,Headache,Nausea,Blurred and distorted vision,Excessive hunger,Drying and tingling lips,Slurred speech,Irritability,Palpitations,,,,,,,,,,,,,,,,
Hypoglycemia,Vomiting,Fatigue,Anxiety,Sweating,Headache,Nausea,Blurred and distorted vision,Excessive hunger,Drying and tingling lips,Slurred speech,Irritability,Palpitations,,,,,,,,,,,,,,,,
Hypoglycemia,Fatigue,Anxiety,Sweating,Headache,Nausea,Blurred and distorted vision,Excessive hunger,Drying and tingling lips,Slurred speech,Irritability,Palpitations,,,,,,,,,,,,,,,,,
Hypoglycemia,Vomiting,Anxiety,Sweating,Headache,Nausea,Blurred and distorted vision,Excessive hunger,Drying and tingling lips,Slurred speech,Irritability,Palpitations,,,,,,,,,,,,,,,,,
Hypoglycemia,Vomiting,Fatigue,Sweating,Headache,Nausea,Blurred and distorted vision,Excessive hunger,Drying and tingling lips,Slurred speech,Irritability,Palpitations,,,,,,,,,,,,,,,,,
Hypoglycemia,Vomiting,Fatigue,Anxiety,Headache,Nausea,Blurred and distorted vision,Excessive hunger,Drying and tingling lips,Slurred speech,Irritability,Palpitations,,,,,,,,,,,,,,,,,
Hypoglycemia,Vomiting,Fatigue,Anxiety,Sweating,Nausea,Blurred and distorted vision,Excessive hunger,Drying and tingling lips,Slurred speech,Irritability,Palpitations,,,,,,,,,,,,,,,,,
Hypoglycemia,Vomiting,Fatigue,Anxiety,Sweating,Headache,Blurred and distorted vision,Excessive hunger,Drying and tingling lips,Slurred speech,Irritability,Palpitations,,,,,,,,,,,,,,,,,
Hypoglycemia,Vomiting,Fatigue,Anxiety,Sweating,Headache,Nausea,Excessive hunger,Drying and tingling lips,Slurred speech,Irritability,Palpitations,,,,,,,,,,,,,,,,,
Osteoarthristis,Joint pain,Neck pain,Knee pain,Hip joint pain,Swelling joints,Painful walking,,,,,,,,,,,,,,,,,,,,,,
Osteoarthristis,Joint pain,Neck pain,Knee pain,Hip joint pain,Swelling joints,Painful walking,,,,,,,,,,,,,,,,,,,,,,
Osteoarthristis,Neck pain,Knee pain,Hip joint pain,Swelling joints,Painful walking,,,,,,,,,,,,,,,,,,,,,,,
Osteoarthristis,Joint pain,Knee pain,Hip joint pain,Swelling joints,Painful walking,,,,,,,,,,,,,,,,,,,,,,,
Osteoarthristis,Joint pain,Neck pain,Hip joint pain,Swelling joints,Painful walking,,,,,,,,,,,,,,,,,,,,,,,
Osteoarthristis,Joint pain,Neck pain,Knee pain,Swelling joints,Painful walking,,,,,,,,,,,,,,,,,,,,,,,
Osteoarthristis,Joint pain,Neck pain,Knee pain,Hip joint pain,Painful walking,,,,,,,,,,,,,,,,,,,,,,,
Osteoarthristis,Joint pain,Neck pain,Knee pain,Hip joint pain,Swelling joints,,,,,,,,,,,,,,,,,,,,,,,
Osteoarthristis,Joint pain,Neck pain,Knee pain,Hip joint pain,Swelling joints,Painful walking,,,,,,,,,,,,,,,,,,,,,,
Osteoarthristis,Joint pain,Neck pain,Knee pain,Hip joint pain,Swelling joints,Painful walking,,,,,,,,,,,,,,,,,,,,,,
Arthritis,Muscle weakness,Stiff neck,Swelling joints,Movement stiffness,Painful walking,,,,,,,,,,,,,,,,,,,,,,,
Arthritis,Muscle weakness,Stiff neck,Swelling joints,Movement stiffness,Painful walking,,,,,,,,,,,,,,,,,,,,,,,
Arthritis,Stiff neck,Swelling joints,Movement stiffness,Painful walking,,,,,,,,,,,,,,,,,,,,,,,,
Arthritis,Muscle weakness,Swelling joints,Movement stiffness,Painful walking,,,,,,,,,,,,,,,,,,,,,,,,
Arthritis,Muscle weakness,Stiff neck,Movement stiffness,Painful walking,,,,,,,,,,,,,,,,,,,,,,,,
Arthritis,Muscle weakness,Stiff neck,Swelling joints,Painful walking,,,,,,,,,,,,,,,,,,,,,,,,
Arthritis,Muscle weakness,Stiff neck,Swelling joints,Movement stiffness,Painful walking,,,,,,,,,,,,,,,,,,,,,,,
Arthritis,Muscle weakness,Stiff neck,Swelling joints,Movement stiffness,,,,,,,,,,,,,,,,,,,,,,,,
Arthritis,Muscle weakness,Stiff neck,Swelling joints,Movement stiffness,Painful walking,,,,,,,,,,,,,,,,,,,,,,,
Arthritis,Muscle weakness,Stiff neck,Swelling joints,Movement stiffness,Painful walking,,,,,,,,,,,,,,,,,,,,,,,
(vertigo) paroymsal positional vertigo,Vomiting,Headache,Nausea,Spinning movements,Loss of balance,Unsteadiness,,,,,,,,,,,,,,,,,,,,,,
(vertigo) paroymsal positional vertigo,Vomiting,Headache,Nausea,Spinning movements,Loss of balance,Unsteadiness,,,,,,,,,,,,,,,,,,,,,,
(vertigo) paroymsal positional vertigo,Headache,Nausea,Spinning movements,Loss of balance,Unsteadiness,,,,,,,,,,,,,,,,,,,,,,,
(vertigo) paroymsal positional vertigo,Vomiting,Nausea,Spinning movements,Loss of balance,Unsteadiness,,,,,,,,,,,,,,,,,,,,,,,
(vertigo) paroymsal positional vertigo,Vomiting,Headache,Spinning movements,Loss of balance,Unsteadiness,,,,,,,,,,,,,,,,,,,,,,,
(vertigo) paroymsal positional vertigo,Vomiting,Headache,Nausea,Loss of balance,Unsteadiness,,,,,,,,,,,,,,,,,,,,,,,
